county,office,district,candidate,party,county_votes,precinct_votes,diff
Gregory,County Commissioner,4,P. J. Olson,REP,0,163,-163
Haakon,Constitutional Amendment E,,No,,0,882,-882
Haakon,Constitutional Amendment E,,Yes,,0,231,-231
Haakon,Constitutional Amendment F,,No,,0,506,-506
Haakon,Constitutional Amendment F,,Yes,,0,607,-607
Haakon,Constitutional Amendment G,,No,,0,950,-950
Haakon,Constitutional Amendment G,,Yes,,0,259,-259
Haakon,Constitutional Amendment H,,Yes,,166,165,1
Haakon,County Commissioner,4,Brett L. Nieman,IND,0,55,-55
Haakon,County Commissioner,4,Carla Smith,REP,0,157,-157
Haakon,County Commissioner,5,Alan Rislov,IND,0,133,-133
Haakon,County Commissioner,5,Raymond Clements Jr,REP,0,86,-86
Haakon,County Treasurer,,Jessica Van Dyke,DEM,0,126,-126
Haakon,County Treasurer,,Lisa Younie,IND,0,568,-568
Haakon,County Treasurer,,Tara Peterson,REP,0,298,-298
Haakon,Initiated Measure 28,,No,,0,871,-871
Haakon,Initiated Measure 28,,Yes,,0,155,-155
Haakon,Initiated Measure 29,,No,,0,918,-918
Haakon,Initiated Measure 29,,Yes,,0,254,-254
Haakon,President,,Chase Oliver and Mike Maat,LIB,0,3,-3
Haakon,President,,Kamala D. Harris and Tim Walz,DEM,105,95,10
Haakon,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",,0,12,-12
Haakon,Referred Law 21,,No,,0,836,-836
Haakon,Referred Law 21,,Yes,,0,267,-267
Haakon,State House,20,Jeff Bathke,REP,0,608,-608
Haakon,State House,20,Kaley NoIz,REP,0,532,-532
Haakon,State House,20,Kaley Noiz,REP,0,532,-532
Haakon,Supreme Court Retention,5,No,,156,311,-155
Haakon,Supreme Court Retention,5,Yes,,787,1473,-686
Hamlin,Constitutional Amendment E,,No,,0,2440,-2440
Hamlin,Constitutional Amendment E,,Yes,,0,940,-940
Hamlin,Constitutional Amendment F,,No,,0,1342,-1342
Hamlin,Constitutional Amendment F,,Yes,,0,1818,-1818
Hamlin,Constitutional Amendment G,,No,,0,2474,-2474
Hamlin,Constitutional Amendment G,,Yes,,0,749,-749
Hamlin,Constitutional Amendment H,,No,,2350,2550,-200
Hamlin,Initiated Measure 28,,No,,0,2420,-2420
Hamlin,Initiated Measure 28,,Yes,,0,801,-801
Hamlin,Initiated Measure 29,,No,,0,2338,-2338
Hamlin,Initiated Measure 29,,Yes,,0,863,-863
Hamlin,President,,Chase Oliver and Mike ter Maat,LIB,19,21,-2
Hamlin,President,,Donald J. Trump and JD Vance,REP,2560,2643,-83
Hamlin,President,,Kamala D. Harris and Tim Walz,DEM,610,619,-9
Hamlin,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,37,47,-10
Hamlin,Public Utilities Commissioner,,Kristie Riegen,REP,0,2511,-2511
Hamlin,Referred Law 21,,No,,0,1798,-1798
Hamlin,Referred Law 21,,Yes,,0,1317,-1317
Hamlin,Supreme Court Retention,5,Justice Scott P. Myren No,,0,395,-395
Hamlin,Supreme Court Retention,5,Justice Scott P. Myren Yes,,0,2166,-2166
Hand,Constitutional Amendment E,,No,,0,2925,-2925
Hand,Constitutional Amendment E,,Yes,,0,1089,-1089
Hand,Constitutional Amendment F,,No,,0,1821,-1821
Hand,Constitutional Amendment F,,Yes,,0,2166,-2166
Hand,Constitutional Amendment G,,No,,0,2981,-2981
Hand,Constitutional Amendment G,,Yes,,0,941,-941
Hand,Constitutional Amendment H,,No,,1296,3069,-1773
Hand,Constitutional Amendment H,,Yes,,426,866,-440
Hand,Initiated Measure 28,,No,,0,3310,-3310
Hand,Initiated Measure 28,,Yes,,0,688,-688
Hand,Initiated Measure 29,,No,,0,2980,-2980
Hand,Initiated Measure 29,,Yes,,0,1026,-1026
Hand,Public Utilities Commissioner,,A. Gideon Oakes,LIB,52,104,-52
Hand,Public Utilities Commissioner,,Forrest Wilson,DEM,264,528,-264
Hand,Public Utilities Commissioner,,Kristie Fiegen,REP,1347,2694,-1347
Hand,Referred Law 21,,No,,0,2928,-2928
Hand,Referred Law 21,,Yes,,0,1043,-1043
Hand,Supreme Court Retention,5,No,,221,604,-383
Hand,Supreme Court Retention,5,Yes,,1256,2808,-1552
Hanson,Constitutional Amendment E,,No,,0,1343,-1343
Hanson,Constitutional Amendment E,,Yes,,0,663,-663
Hanson,Constitutional Amendment F,,No,,0,788,-788
Hanson,Constitutional Amendment F,,Yes,,0,1201,-1201
Hanson,Constitutional Amendment G,,No,,0,1514,-1514
Hanson,Constitutional Amendment G,,Yes,,0,507,-507
Hanson,Initiated Measure 28,,No,,0,1556,-1556
Hanson,Initiated Measure 28,,Yes,,0,416,-416
Hanson,Initiated Measure 29,,No,,0,1414,-1414
Hanson,Initiated Measure 29,,Yes,,0,582,-582
Hanson,President,,Robert F. Kennedy Jr. and Nicole Shanahan,IND,0,28,-28
Hanson,Referred Law 21,,No,,0,1307,-1307
Hanson,Referred Law 21,,Yes,,0,624,-624
Harding,Constitutional Amendment E,,No,,0,652,-652
Harding,Constitutional Amendment E,,Yes,,0,109,-109
Harding,Constitutional Amendment F,,No,,0,326,-326
Harding,Constitutional Amendment F,,Yes,,0,478,-478
Harding,Constitutional Amendment G,,No,,0,666,-666
Harding,Constitutional Amendment G,,Yes,,0,143,-143
Harding,Constitutional Amendment H,,Yes,,114,144,-30
Harding,Initiated Measure 28,,No,,0,628,-628
Harding,Initiated Measure 28,,Yes,,0,136,-136
Harding,Initiated Measure 29,,No,,0,665,-665
Harding,Initiated Measure 29,,Yes,,0,142,-142
Harding,President,,Chase Oliver and Mike Itter,LIB,0,5,-5
Harding,Public Utilities Commissioner,,Kristie Riegen,REP,0,714,-714
Harding,Referred Law 21,,No,,0,584,-584
Harding,Referred Law 21,,Yes,,0,199,-199
Harding,State House,28B,Travis Ismay,REP,693,1386,-693
Hughes,Constitutional Amendment E,,No,,0,4553,-4553
Hughes,Constitutional Amendment E,,Yes,,0,3878,-3878
Hughes,Constitutional Amendment F,,No,,0,3803,-3803
Hughes,Constitutional Amendment F,,Yes,,0,4703,-4703
Hughes,Constitutional Amendment G,,No,,0,4842,-4842
Hughes,Constitutional Amendment G,,Yes,,0,3659,-3659
Hughes,Constitutional Amendment H,,No,,5406,5316,90
Hughes,Constitutional Amendment H,,Yes,,2956,3030,-74
Hughes,Initiated Measure 28,,No,,0,6584,-6584
Hughes,Initiated Measure 28,,Yes,,0,1866,-1866
Hughes,Initiated Measure 29,,No,,0,4898,-4898
Hughes,Initiated Measure 29,,Yes,,0,3615,-3615
Hughes,President,,Chase Oliver and Michael Ter Maat,LIB,0,59,-59
Hughes,President,,Donald J. Trump and JD Vance,REP,5379,5473,-94
Hughes,President,,Kamala D. Harris and Tim Walz,DEM,2838,2849,-11
Hughes,Public Utilities Commissioner,,A. Gideon Oakes,LIB,408,424,-16
Hughes,Public Utilities Commissioner,,Forrest Wilson,DEM,1837,1868,-31
Hughes,Public Utilities Commissioner,,Kristie Fiegen,REP,5803,6058,-255
Hughes,Referred Law 21,,No,,0,5339,-5339
Hughes,Referred Law 21,,Yes,,0,3877,-3877
Hughes,State Senate,24,Jim Mehlhaff,REP,6102,6346,-244
Hughes,State Senate,26,Shawn Bordeaux,DEM,24,20,4
Hughes,U.S. House,1,Dusty Johnson,REP,6342,6437,-95
Hughes,U.S. House,1,Sheryl Johnson,DEM,2019,2030,-11
Hutchinson,Constitutional Amendment E,,No,,0,2452,-2452
Hutchinson,Constitutional Amendment E,,Yes,,0,1231,-1231
Hutchinson,Constitutional Amendment F,,No,,0,1761,-1761
Hutchinson,Constitutional Amendment F,,Yes,,0,1928,-1928
Hutchinson,Constitutional Amendment G,,No,,0,2937,-2937
Hutchinson,Constitutional Amendment G,,Yes,,0,792,-792
Hyde,Constitutional Amendment E,,No,,0,480,-480
Hyde,Constitutional Amendment E,,Yes,,0,215,-215
Hyde,Constitutional Amendment F,,No,,0,364,-364
Hyde,Constitutional Amendment F,,Yes,,0,324,-324
Hyde,Constitutional Amendment G,,No,,0,522,-522
Hyde,Constitutional Amendment G,,Yes,,0,175,-175
Hyde,County Commissioner,4,Charles K. Hamin,IND,0,45,-45
Hyde,County Commissioner,4,Charles R. Hamlin,,0,45,-45
Hyde,County Commissioner,4,Thomas Kroepfl,REP,0,94,-94
Hyde,County Commissioner,4,Tod Kroeplin,REP,0,94,-94
Hyde,Initiated Measure 28,,No,,0,575,-575
Hyde,Initiated Measure 28,,Yes,,0,116,-116
Hyde,Initiated Measure 29,,No,,0,495,-495
Hyde,Initiated Measure 29,,Yes,,0,203,-203
Hyde,President,,Chase Oliver and Mike Ter Maat,LIB,0,4,-4
Hyde,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",,0,13,-13
Hyde,President,,"Robert F. Kennedy, Jr., and Nicole Shanahan",IND,0,13,-13
Hyde,Public Utilities Commissioner,,A. Gideon Kocelas,LIB,0,23,-23
Hyde,Public Utilities Commissioner,,Forrest Wilson,CON,0,99,-99
Hyde,Referred Law 21,,No,,0,498,-498
Hyde,Referred Law 21,,Yes,,0,186,-186
Hyde,State House,24,David Reis,IND,0,12,-12
Hyde,State House,24,Rebecca Reimer,REP,0,482,-482
Hyde,State House,26B,Mike Weisgram,REP,0,399,-399
Hyde,State House,26B,Will D. Mortenson,REP,0,482,-482
Hyde,State Senate,26,Jim Mehlhaff,REP,0,530,-530
Hyde,Supreme Court Retention,Fifth Supreme Court District,No,,0,87,-87
Hyde,Supreme Court Retention,Fifth Supreme Court District,Yes,,0,509,-509
Hyde,U.S. House,1,Shery Johnson,DEM,0,103,-103
Jackson,Constitutional Amendment H,,No,,839,0,839
Jackson,Constitutional Amendment H,,Yes,,262,0,262
Jackson,President,,Chase Oliver and Mike ter Maat,LIB,3,0,3
Jackson,President,,Donald J. Trump and JD Vance,REP,753,749,4
Jackson,President,,Kamala D. Harris and Tim Walz,DEM,357,337,20
Jackson,Public Utilities Commissioner,,A. Gideon Oakes,LIB,43,42,1
Jackson,Public Utilities Commissioner,,Kristie Fiegen,REP,703,687,16
Jackson,State House,27,Liz May,REP,753,712,41
Jackson,State Senate,27,Anthony G. Kathol,REP,731,649,82
Jackson,State Senate,27,Anthony G. Koth,REP,0,612,-612
Jackson,Supreme Court Retention,5,No,,270,0,270
Jackson,Supreme Court Retention,5,Yes,,671,0,671
Jackson,U.S. House,1,Dusty Johnson,REP,783,843,-60
Jerauld,Constitutional Amendment H,,No,,703,0,703
Jerauld,Constitutional Amendment H,,Yes,,262,0,262
Jerauld,County Treasurer,,Jessica Van Dyke,DEM,0,126,-126
Jerauld,County Treasurer,,Lisa Younie,IND,0,568,-568
Jerauld,County Treasurer,,Tara Peterson,REP,0,298,-298
Jerauld,President,,Chase Oliver and Mike ter Maat,LIB,1,0,1
Jerauld,President,,Donald J. Trump and JD Vance,REP,708,508,200
Jerauld,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,14,0,14
Jerauld,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",,0,14,-14
Jerauld,Public Utilities Commissioner,,A. Gideon Oakes,LIB,15,0,15
Jerauld,Public Utilities Commissioner,,Forrest Wilson,DEM,201,0,201
Jerauld,Public Utilities Commissioner,,Kristie Fiegen,REP,716,0,716
Jerauld,State House,20,Jeff Bathke,REP,611,0,611
Jerauld,State House,20,Kaley Nolz,REP,522,0,522
Jerauld,State Senate,20,Paul Miskimins,REP,694,0,694
Jerauld,Supreme Court Retention,5,No,,161,0,161
Jerauld,Supreme Court Retention,5,Yes,,686,0,686
Jerauld,U.S. House,1,Dusty Johnson,REP,816,0,816
Jerauld,U.S. House,1,Sheryl Johnson,DEM,184,0,184
Jones,Constitutional Amendment E,,,NO,0,426,-426
Jones,Constitutional Amendment E,,,YES,0,122,-122
Jones,Constitutional Amendment E: An Amendment to the South Dakota Constitution Updating Gender References for Certain Officeholders and Persons,,No,,0,426,-426
Jones,Constitutional Amendment E: An Amendment to the South Dakota Constitution Updating Gender References for Certain Officeholders and Persons,,Yes,,0,122,-122
Jones,Constitutional Amendment F,,,NO,0,264,-264
Jones,Constitutional Amendment F,,,YES,0,284,-284
Jones,Constitutional Amendment F: An Amendment to the South Dakota Constitution Authorizing the State to Impose a Work Requirement on Individuals Eligible for Expanded Medicaid Benefits,,No,,0,264,-264
Jones,Constitutional Amendment F: An Amendment to the South Dakota Constitution Authorizing the State to Impose a Work Requirement on Individuals Eligible for Expanded Medicaid Benefits,,Yes,,0,284,-284
Jones,Constitutional Amendment G,,,NO,0,432,-432
Jones,Constitutional Amendment G,,,YES,0,121,-121
Jones,Constitutional Amendment G: An Initiated Amendment Establishing Right to Abortion in the State Constitution,,No,,0,432,-432
Jones,Constitutional Amendment G: An Initiated Amendment Establishing Right to Abortion in the State Constitution,,Yes,,0,121,-121
Jones,Constitutional Amendment H,,No,,433,0,433
Jones,Constitutional Amendment H,,Yes,,108,0,108
Jones,Constitutional Amendment H,,,NO,0,433,-433
Jones,Constitutional Amendment H,,,YES,0,108,-108
Jones,Constitutional Amendment H: An Amendment to the South Dakota Constitution Establishing Top-Two Primary Elections,,No,,0,433,-433
Jones,Constitutional Amendment H: An Amendment to the South Dakota Constitution Establishing Top-Two Primary Elections,,Yes,,0,108,-108
Jones,Initiated Measure 28: An Initiated Measure Prohibiting Taxes on Anything Sold for Human Consumption,,No,,0,464,-464
Jones,Initiated Measure 28: An Initiated Measure Prohibiting Taxes on Anything Sold for Human Consumption,,Yes,,0,82,-82
Jones,"Initiated Measure 29: An Initiated Measure Legalizing the Recreational Use, Possession, and Distribution of Marijuana",,No,,0,400,-400
Jones,"Initiated Measure 29: An Initiated Measure Legalizing the Recreational Use, Possession, and Distribution of Marijuana",,Yes,,0,151,-151
Jones,"Referred Law 21: A Referred Act to Provide New Statutory Requirements for Regulating Linear Transmission Facilities, to Allow Counties to Impose a Surcharge on Certain Pipeline Companies, and to Establish a Landowner Bill of Rights",,No,,0,392,-392
Jones,"Referred Law 21: A Referred Act to Provide New Statutory Requirements for Regulating Linear Transmission Facilities, to Allow Counties to Impose a Surcharge on Certain Pipeline Companies, and to Establish a Landowner Bill of Rights",,Yes,,0,143,-143
Jones,Supreme Court Retention,5,Scott P. Myren,NO,0,103,-103
Jones,Supreme Court Retention,5,Scott P. Myren,YES,0,372,-372
Kingsbury,Constitutional Amendment H,,No,,1925,0,1925
Kingsbury,Constitutional Amendment H,,Yes,,803,0,803
Kingsbury,President,,Chase Oliver and Jeffry Miller,LIB,0,14,-14
Kingsbury,President,,Chase Oliver and Mike ter Maat,LIB,13,0,13
Kingsbury,President,,Donald J. Trump and J. D. Vance,REP,0,1899,-1899
Kingsbury,President,,Donald J. Trump and JD Vance,REP,1989,0,1989
Kingsbury,President,,Kamala D. Harris and Tim Walz,DEM,760,954,-194
Kingsbury,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,39,0,39
Kingsbury,President,,"Robert F. Kennedy, Jr. and Noelle Shanahan",IND,0,18,-18
Kingsbury,Public Utilities Commissioner,,A. Gideon Oakes,LIB,102,0,102
Kingsbury,Public Utilities Commissioner,,Forrest Wilson,DEM,510,0,510
Kingsbury,Public Utilities Commissioner,,Kristie Fiegen,REP,2031,0,2031
Kingsbury,State House,22,Greg Zimmerman,REP,0,298,-298
Kingsbury,State House,8,Greg Zimmerman,LIB,395,0,395
Kingsbury,State House,8,Tim Reisch,REP,1849,0,1849
Kingsbury,State House,8,Tim Walburg,REP,1679,0,1679
Kingsbury,State Senate,8,Casey Crabtree,REP,2086,0,2086
Kingsbury,State Senate,8,Sheri L. Johnson,DEM,0,136,-136
Kingsbury,Supreme Court Retention,5,No,,354,0,354
Kingsbury,Supreme Court Retention,5,Yes,,2007,0,2007
Kingsbury,U.S. House,1,Chase Oliver and Mike Terrell,LIB,0,13,-13
Kingsbury,U.S. House,1,Dusty Johnson,REP,2209,1913,296
Kingsbury,U.S. House,1,Elaine G. Robinson,LIB,0,13,-13
Kingsbury,U.S. House,1,Sheryl Johnson,DEM,571,0,571
Kingsbury,U.S. House,1,Stephanie Herseth Sandlin,DEM,0,768,-768
Lake,Constitutional Amendment E,,No,,0,3428,-3428
Lake,Constitutional Amendment E,,Yes,,0,2427,-2427
Lake,Constitutional Amendment F,,No,,0,2624,-2624
Lake,Constitutional Amendment F,,Yes,,0,3173,-3173
Lake,Constitutional Amendment G,,No,,0,3348,-3348
Lake,Constitutional Amendment G,,Yes,,0,2253,-2253
Lake,County Commissioner,,Adam Leighton,REP,0,3509,-3509
Lake,County Commissioner,,Charles J Johnson,DEM,0,2514,-2514
Lake,County Commissioner,,Deb Reinicke,REP,0,3199,-3199
Lake,County Commissioner,,Dennis Slaughter,REP,0,3263,-3263
Lake,Initiated Measure 28,,No,,0,3665,-3665
Lake,Initiated Measure 28,,Yes,,0,1890,-1890
Lake,Initiated Measure 29,,No,,0,3043,-3043
Lake,Initiated Measure 29,,Yes,,0,2424,-2424
Lake,President,,Robert F. Kennedy Jr. and Nicole Shanahan,IND,0,87,-87
Lake,Referred Law 21,,No,,0,3235,-3235
Lake,Referred Law 21,,Yes,,0,2163,-2163
Lawrence,Constitutional Amendment E,,No,,0,8553,-8553
Lawrence,Constitutional Amendment E,,Yes,,0,6450,-6450
Lawrence,Constitutional Amendment F,,No,,0,6111,-6111
Lawrence,Constitutional Amendment F,,Yes,,0,9085,-9085
Lawrence,Constitutional Amendment G,,No,,0,8186,-8186
Lawrence,Constitutional Amendment G,,Yes,,0,7075,-7075
Lawrence,Constitutional Amendment H,,No,,9356,9348,8
Lawrence,Constitutional Amendment H,,Yes,,5482,5494,-12
Lawrence,Initiated Measure 28,,No,,0,10011,-10011
Lawrence,Initiated Measure 28,,Yes,,0,5103,-5103
Lawrence,Initiated Measure 29,,No,,0,8154,-8154
Lawrence,Initiated Measure 29,,Yes,,0,7215,-7215
Lawrence,Public Utilities Commissioner,,A. Gideon Oakes,LIB,1103,1003,100
Lawrence,Referred Law 21,,No,,0,8338,-8338
Lawrence,Referred Law 21,,Yes,,0,6246,-6246
Lawrence,State House,31,Victoria A Greenlee,IND,0,3986,-3986
Lawrence,Supreme Court Retention - Fifth Supreme Court District,5,No,,0,2632,-2632
Lawrence,Supreme Court Retention - Fifth Supreme Court District,5,Yes,,0,9713,-9713
Lincoln,Constitutional Amendment H,,No,,22775,0,22775
Lincoln,Constitutional Amendment H,,Yes,,12003,0,12003
Lincoln,President,,Chase Oliver and Mike ter Maat,LIB,227,242,-15
Lincoln,President,,Donald J. Trump and JD Vance,REP,22621,26074,-3453
Lincoln,President,,Kamala D. Harris and Tim Walz,DEM,12981,14829,-1848
Lincoln,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,564,589,-25
Lincoln,State House,12,Amber Arlint,REP,3527,2230,1297
Lincoln,State House,12,Erin Royer,DEM,1804,1267,537
Lincoln,State House,12,Greg Jamison,REP,3271,0,3271
Lincoln,State House,12,JR Anderson,DEM,1387,0,1387
Lincoln,State House,12,Jr Anderson,DEM,0,1078,-1078
Lincoln,State House,13,John Hughes,REP,6076,0,6076
Lincoln,State House,13,Tony Venhuizen,REP,5727,0,5727
Lincoln,State House,16,Karla J Lems,REP,4110,0,4110
Lincoln,State House,16,Matthew Carl Ness,DEM,1419,0,1419
Lincoln,State House,16,Richard Vasgaard,REP,3285,0,3285
Lincoln,State House,6,Aaron Aylward,REP,6534,284,6250
Lincoln,State House,6,Garret M Campbell,DEM,3546,118,3428
Lincoln,State House,6,Herman Otten,REP,7216,373,6843
Lincoln,State Senate,12,Arch Beal,REP,3443,9563,-6120
Lincoln,State Senate,12,Clay Hoffman,DEM,2049,5695,-3646
Lincoln,State Senate,13,Ali Rae Horsted,DEM,4279,7069,-2790
Lincoln,State Senate,13,Sue Peterson,REP,6749,7257,-508
Lincoln,State Senate,16,Arch Beal,REP,0,1032,-1032
Lincoln,State Senate,16,Clay Hoffman,DEM,0,507,-507
Lincoln,State Senate,16,Kevin D. Jensen,REP,4518,2004,2514
Lincoln,State Senate,6,Ernie Otten,REP,8961,14817,-5856
Lincoln,Supreme Court Retention,5,No,,5626,113,5513
Lincoln,Supreme Court Retention,5,Yes,,23834,488,23346
Lincoln,Supreme Court Retention,Fifth,No,,0,5496,-5496
Lincoln,Supreme Court Retention,Fifth,Yes,,0,23445,-23445
Lyman,Constitutional Amendment E,,No,,0,963,-963
Lyman,Constitutional Amendment E,,Yes,,0,477,-477
Lyman,Constitutional Amendment F,,No,,0,744,-744
Lyman,Constitutional Amendment F,,Yes,,0,688,-688
Lyman,Constitutional Amendment G,,No,,0,962,-962
Lyman,Constitutional Amendment G,,Yes,,0,480,-480
Lyman,Initiated Measure 28,,No,,0,1144,-1144
Lyman,Initiated Measure 28,,Yes,,0,281,-281
Lyman,Initiated Measure 29,,No,,0,743,-743
Lyman,Initiated Measure 29,,Yes,,0,617,-617
Lyman,President,,Donald J. Trump and JD Vance,REP,993,1173,-180
Lyman,Public Utilities Commissioner,,Forrest Wilson,DEM,342,392,-50
Lyman,Referred Law 21,,No,,0,935,-935
Lyman,Referred Law 21,,Yes,,0,463,-463
Lyman,U.S. House,1,Dusty Johnson,REP,1099,1799,-700
Lyman,U.S. House,1,Sheryl Johnson,DEM,318,577,-259
Marshall,Constitutional Amendment H,,No,,1437,0,1437
Marshall,Constitutional Amendment H,,Yes,,630,0,630
Marshall,County Commissioner,,Andrea Kilker,REP,0,19,-19
Marshall,County Commissioner,,Gerry Person,DEM,0,191,-191
Marshall,County Commissioner,,Jared Holland,IND,0,6,-6
Marshall,County Commissioner,,Jason D. Bender,REP,0,253,-253
Marshall,County Commissioner,,Leron Knebel Sr.,DEM,0,22,-22
Marshall,County Commissioner Marshall,,Andrea Kilker,REP,0,260,-260
Marshall,County Commissioner Marshall,,Jared Holland,IND,0,34,-34
Marshall,County Commissioner Marshall,,Leron Knebel Sr.,DEM,0,220,-220
Marshall,President,,Donald J. Trump and JD Vance,REP,1288,1269,19
Marshall,President,,Robert F. Kennedy Jr. and Nicole Shanahan,,0,39,-39
Marshall,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,28,0,28
Marshall,Public Utilities Commissioner,,A. Gideon Oakes,LIB,71,0,71
Marshall,Public Utilities Commissioner,,A. Gideon Oakes,,0,70,-70
Marshall,Public Utilities Commissioner,,Kristie Fiegen,REP,1259,1257,2
Marshall,State House,1,Christopher Peder,,0,979,-979
Marshall,State House,1,Christopher Reder,REP,859,0,859
Marshall,State House,1,Josh Dennert,LIB,116,131,-15
Marshall,State House,1,Logan Manhart,REP,922,1008,-86
Marshall,State House,1,Mark Sumption,DEM,768,878,-110
Marshall,State House,1,Steven D. McCleerey,DEM,793,783,10
Marshall,State House,1,Tamara Lesnar,LIB,85,0,85
Marshall,State House,1,Tamara Lesnar,,0,101,-101
Marshall,Supreme Court Retention,5,No,,292,0,292
Marshall,Supreme Court Retention,5,Yes,,1492,0,1492
Mccook,Constitutional Amendment H,,No,,2177,0,2177
Mccook,Constitutional Amendment H,,Yes,,777,0,777
Mccook,County Commissioner,,Barney J Boling,DEM,0,133,-133
Mccook,County Commissioner,,Barney J. Roling,DEM,0,133,-133
Mccook,County Commissioner,,Tom S Heumiller,REP,0,404,-404
Mccook,County Commissioner,,Tom S. Heumiller,REP,0,404,-404
Mccook,Initiated Measure 28,,No,,2337,0,2337
Mccook,Initiated Measure 28,,Yes,,673,0,673
Mccook,Initiated Measure 29,,No,,2000,0,2000
Mccook,Initiated Measure 29,,Yes,,1046,0,1046
Mccook,President,,Chase Oliver and Mike ter Maat,LIB,10,23,-13
Mccook,President,,Donald J. Trump and JD Vance,REP,2227,4454,-2227
Mccook,President,,Kamala D. Harris and Tim Kaine,DEM,0,733,-733
Mccook,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,61,122,-61
Mccook,Public Utilities Commissioner,,A. Gideon Oakes,LIB,108,191,-83
Mccook,Public Utilities Commissioner,,Forrest Wilson,,0,506,-506
Mccook,Public Utilities Commissioner,,Kristie Fiegen,REP,2258,4516,-2258
Mccook,Referred Law 21,,No,,1973,0,1973
Mccook,Referred Law 21,,Yes,,971,0,971
Mccook,State House,19,Drew Peterson,REP,1893,3566,-1673
Mccook,State House,19,Jessica Bahmuller,BEP,0,1783,-1783
Mccook,State House,19,Jessica Bahmuller,REP,1801,0,1801
Mccook,State House,19,Jessica Bahmuller,,0,1783,-1783
Mccook,State Senate,19,Kyle Schoenfish,REP,2135,4170,-2035
Mccook,State Senate,19,Michael J. Miller,IND,644,1288,-644
Mccook,Supreme Court Retention,5,No,,436,0,436
Mccook,Supreme Court Retention,5,Yes,,2108,0,2108
Mccook,U.S. House,1,Dusty Johnson,REP,2460,5046,-2586
Mccook,U.S. House,1,Sheryl Johnson,DEM,554,1008,-454
Mcpherson,Constitutional Amendment E,,No,,0,910,-910
Mcpherson,Constitutional Amendment E,,Yes,,0,369,-369
Mcpherson,Constitutional Amendment F,,No,,0,573,-573
Mcpherson,Constitutional Amendment F,,Yes,,0,714,-714
Mcpherson,Constitutional Amendment G,,No,,0,1034,-1034
Mcpherson,Constitutional Amendment G,,Yes,,0,254,-254
Mcpherson,Constitutional Amendment H,,No,,975,1065,-90
Mcpherson,Constitutional Amendment H,,Yes,,300,295,5
Mcpherson,Supreme Court Retention,5,No,,146,0,146
Mcpherson,Supreme Court Retention,5,Yes,,959,0,959
Mcpherson,Supreme Court Retention,Fifth,No,,0,146,-146
Mcpherson,Supreme Court Retention,Fifth,Yes,,0,959,-959
Meade,Constitutional Amendment E,,No,,9459,0,9459
Meade,Constitutional Amendment E,,Yes,,5091,0,5091
Meade,Constitutional Amendment F,,No,,5539,0,5539
Meade,Constitutional Amendment F,,Yes,,8978,0,8978
Meade,Constitutional Amendment G,,No,,9192,0,9192
Meade,Constitutional Amendment G,,Yes,,5430,0,5430
Meade,Constitutional Amendment H,,No,,9424,0,9424
Meade,Constitutional Amendment H,,Yes,,4765,0,4765
Meade,Initiated Measure 28,,No,,9912,8149,1763
Meade,Initiated Measure 28,,Yes,,4549,5068,-519
Meade,Initiated Measure 29,,No,,8415,7936,479
Meade,Initiated Measure 29,,Yes,,6229,6677,-448
Meade,President,,Chase Oliver and Mike ter Maat,LIB,106,185,-79
Meade,President,,Donald J. Trump and JD Vance,REP,10887,21647,-10760
Meade,President,,Kamala D. Harris and Tim Walz,DEM,3421,6415,-2994
Meade,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,258,255,3
Meade,President,,"Robert F. Kennedy, Jr., and Nicole Shanahan",IND,0,257,-257
Meade,Public Utilities Commissioner,,A. Gideon Oakes,LIB,1080,1011,69
Meade,Public Utilities Commissioner,,Forrest Wilson,DEM,2554,2327,227
Meade,Public Utilities Commissioner,,Kristie Fiegen,REP,9928,10041,-113
Meade,Referred Law 21,,No,,8402,7950,452
Meade,Referred Law 21,,Yes,,5625,5791,-166
Meade,State House,29,Kathy Rice,REP,6615,13066,-6451
Meade,State House,29,Terri Jorgenson,REP,6966,13645,-6679
Meade,State House,33,Curt Massie,REP,1288,2576,-1288
Meade,State House,33,Phil Jensen,REP,1311,2622,-1311
Meade,State Senate,29,John Carley,REP,8634,9592,-958
Meade,State Senate,33,Curt Voight,REP,1709,9512,-7803
Meade,Supreme Court Retention,5,No,,2479,2421,58
Meade,Supreme Court Retention,5,Yes,,9413,8710,703
Meade,Supreme Court Retention,Fifth Supreme Court,No,,0,2686,-2686
Meade,Supreme Court Retention,Fifth Supreme Court,Yes,,0,8925,-8925
Meade,U.S. House,1,Dusty Johnson,REP,1139,21915,-20776
Meade,U.S. House,1,Sheryl Johnson,DEM,2855,5184,-2329
Mellette,Constitutional Amendment E,,No,,470,0,470
Mellette,Constitutional Amendment E,,Yes,,260,0,260
